device_a,interface_a,device_b,interface_b,connection_status
R11,GigabitEthernet2.13,R13,GigabitEthernet2.13,Connected
R12,GigabitEthernet2.12,R11,GigabitEthernet2.12,Connected
R12,GigabitEthernet2.23,R13,GigabitEthernet2.23,Connected
R14,GigabitEthernet2.14,R11,GigabitEthernet2.14,Connected
R14,GigabitEthernet2.24,R12,GigabitEthernet2.24,Connected
R14,GigabitEthernet2.34,R13,GigabitEthernet2.34,Connected
R15,GigabitEthernet2.35,R13,GigabitEthernet2.35,Connected
R15,GigabitEthernet2.45,R14,GigabitEthernet2.45,Connected
R16,GigabitEthernet2.36,R13,GigabitEthernet2.36,Connected
R16,GigabitEthernet2.46,R14,GigabitEthernet2.46,Connected
R16,GigabitEthernet2.56,R15,GigabitEthernet2.56,Connected